,,,
,,,
,,,
As of:,"Oct 21, 2016",,
,,,
,,,
Effective date ,Dow Jones Industrial Average Total Return,Dow Jones Industrial Average Net Total Return,Dow Jones Industrial Average
3/13/2008,20222.73,19115.17,12145.74
3/14/2008,19898.63,18808.82,11951.09
3/17/2008,19933.88,18842.13,11972.25
3/18/2008,20633.85,19503.77,12392.66
3/19/2008,20146.01,19042.65,12099.66
3/20/2008,20581.67,19454.45,12361.32
3/21/2008,20581.67,19454.45,12361.32
3/24/2008,20893.57,19749.26,12548.64
3/25/2008,20866.86,19724.02,12532.6
3/26/2008,20684.14,19551.31,12422.86
3/27/2008,20483.67,19361.81,12302.46
3/28/2008,20340.39,19226.38,12216.4
3/31/2008,20417.79,19299.54,12262.89
4/1/2008,21069.59,19915.64,12654.36
4/2/2008,20993.93,19842.67,12605.83
4/3/2008,21027.55,19874.45,12626.03
4/4/2008,20999.89,19848.31,12609.42
4/7/2008,21004.91,19853.05,12612.43
4/8/2008,20956.2,19803.83,12576.44
4/9/2008,20876.69,19728,12527.26
4/10/2008,20967.87,19814.17,12581.98
4/11/2008,20540.33,19410.14,12325.42
4/14/2008,20501.38,19373.34,12302.06
4/15/2008,20602.06,19468.48,12362.47
4/16/2008,21035.56,19876.56,12619.27
4/17/2008,21042.48,19881.71,12620.49
4/18/2008,21424.09,20242.26,12849.36
4/21/2008,21383.5,20203.91,12825.02
4/22/2008,21208.78,20038.84,12720.23
4/23/2008,21280.46,20106.56,12763.22
4/24/2008,21423.41,20241.62,12848.95
4/25/2008,21494.95,20309.22,12891.86
4/28/2008,21461.42,20277.54,12871.75
4/29/2008,21395.03,20214.82,12831.94
4/30/2008,21377.66,20197.74,12820.13
5/1/2008,21698.68,20499.8,13010
5/2/2008,21779.07,20575.75,13058.2
5/5/2008,21633.08,20437.28,12969.54
5/6/2008,21718.63,20518.11,13020.83
5/7/2008,21390.54,20203.53,12814.35
5/8/2008,21478.07,20286.2,12866.78
5/9/2008,21281.63,20099.13,12745.88
5/12/2008,21499.41,20304.82,12876.31
5/13/2008,21432.78,20239.89,12832.18
5/14/2008,21554.38,20351.59,12898.38
5/15/2008,21720.85,20506.25,12992.66
5/16/2008,21711.05,20497,12986.8
5/19/2008,21780.2,20562.28,13028.16
5/20/2008,21446.71,20247.44,12828.68
5/21/2008,21073.09,19892.82,12601.19
5/22/2008,21120.22,19935.52,12625.62
5/23/2008,20876.01,19705.02,12479.63
5/26/2008,20876.01,19705.02,12479.63
5/27/2008,20990.97,19813.52,12548.35
5/28/2008,21067.37,19885.64,12594.03
5/29/2008,21154.68,19968.05,12646.22
5/30/2008,21141.47,19955.58,12638.32
6/2/2008,20916.46,19743.2,12503.82
6/3/2008,20750.62,19585.79,12402.85
6/4/2008,20746.53,19577.23,12390.48
6/5/2008,21110,19918.74,12604.45
6/6/2008,20449.05,19295.09,12209.81
6/9/2008,20568.24,19407.24,12280.32
6/10/2008,20584.06,19422.17,12289.76
6/11/2008,20244.14,19099.99,12083.77
6/12/2008,20340.99,19191.37,12141.58
6/13/2008,20618.7,19453.39,12307.35
6/16/2008,20554.6,19392.9,12269.08
6/17/2008,20372.36,19220.97,12160.3
6/18/2008,20152.48,19013.51,12029.06
6/19/2008,20213.73,19070.1,12063.09
6/20/2008,19844.41,18721.68,11842.69
6/23/2008,19843.87,18721.16,11842.36
6/24/2008,19785.34,18665.94,11807.43
6/25/2008,19792.7,18672.89,11811.83
6/26/2008,19192.13,18106.3,11453.42
6/27/2008,19012.99,17937.29,11346.51
6/30/2008,19018.86,17942.83,11350.01
7/1/2008,19078.08,17997.23,11382.26
7/2/2008,18798.59,17733.58,11215.51
7/3/2008,18921.01,17849.06,11288.54
7/4/2008,18921.01,17849.06,11288.54
7/7/2008,18826.16,17759.58,11231.96
7/8/2008,19092.85,18007.91,11384.21
7/9/2008,18698.16,17634.97,11147.44
7/10/2008,18835,17764.03,11229.02
7/11/2008,18619.5,17560.78,11100.54
7/14/2008,18543.43,17489.03,11055.19
7/15/2008,18388.01,17342.45,10962.54
7/16/2008,18857.81,17783.96,11239.28
7/17/2008,19211.61,18115.95,11446.66
7/18/2008,19295.37,18194.94,11496.57
7/21/2008,19246.31,18148.68,11467.34
7/22/2008,19473.16,18362.58,11602.5
7/23/2008,19523.31,18409.88,11632.38
7/24/2008,19048.17,17961.83,11349.28
7/25/2008,19084.11,17995.72,11370.69
7/28/2008,18681.94,17616.49,11131.08
7/29/2008,19129.2,18038.25,11397.56
7/30/2008,19441.59,18332.82,11583.69
7/31/2008,19100.7,18010.16,11378.02
8/1/2008,19013.91,17928.32,11326.32
8/4/2008,18943.11,17861.56,11284.15
