,,,
,,,
,,,
As of:,"Oct 21, 2016",,
,,,
,,,
Effective date ,Dow Jones Industrial Average Total Return,Dow Jones Industrial Average Net Total Return,Dow Jones Industrial Average
7/7/2016,37224.85,32913.17,17895.88
7/8/2016,37746.65,33374.53,18146.74
7/11/2016,37913.46,33522.02,18226.93
7/12/2016,38164.6,33744.07,18347.67
7/13/2016,38215.45,33789.03,18372.12
7/14/2016,38494.8,34036.02,18506.41
7/15/2016,38515.88,34054.66,18516.55
7/18/2016,38561.18,34091.81,18533.05
7/19/2016,38615.19,34139.55,18559.01
7/20/2016,38699.68,34211.72,18595.03
7/21/2016,38537.77,34068.59,18517.23
7/22/2016,38649.36,34167.24,18570.85
7/25/2016,38487.45,34024.11,18493.06
7/26/2016,38447.26,33988.58,18473.75
7/27/2016,38443.98,33985.68,18472.17
7/28/2016,38411.06,33956.57,18456.35
7/29/2016,38360.89,33912.22,18432.24
8/1/2016,38303.17,33861.19,18404.51
8/2/2016,38114.32,33694.25,18313.77
8/3/2016,38208.1,33775.04,18355
8/4/2016,38210.1,33774.65,18352.05
8/5/2016,38608.77,34127.04,18543.53
8/8/2016,38599.07,34113.17,18529.29
8/9/2016,38606.92,34120.11,18533.05
8/10/2016,38562.41,34071.92,18495.66
8/11/2016,38813.57,34292.39,18613.52
8/12/2016,38736.31,34224.14,18576.47
8/15/2016,38860.55,34333.9,18636.05
8/16/2016,38690.47,34182.27,18552.02
8/17/2016,38778.73,34248.97,18573.94
8/18/2016,38828.35,34292.79,18597.7
8/19/2016,38745.56,34216.64,18552.57
8/22/2016,38697.22,34173.95,18529.42
8/23/2016,38734.55,34206.92,18547.3
8/24/2016,38597.11,34085.54,18481.48
8/25/2016,38528.03,34024.54,18448.41
8/26/2016,38417.33,33926.78,18395.4
8/29/2016,38642.02,34125.2,18502.99
8/30/2016,38572.22,34055.11,18454.3
8/31/2016,38460.57,33956.54,18400.88
9/1/2016,38501.37,33991.95,18419.3
9/2/2016,38653.25,34126.04,18491.96
9/6/2016,38749.73,34211.22,18538.12
9/7/2016,38743.22,34200.56,18526.14
9/8/2016,38646.54,34115.23,18479.91
9/9/2016,37821.61,33387.02,18085.45
9/12/2016,38322.73,33829.38,18325.07
9/13/2016,37794.12,33359.67,18066.75
9/14/2016,37727.21,33300.62,18034.77
9/15/2016,38102.27,33630.8,18212.48
9/16/2016,37916.73,33467.04,18123.8
9/19/2016,37909.14,33460.33,18120.17
9/20/2016,37929.63,33478.42,18129.96
9/21/2016,38272.19,33780.78,18293.7
9/22/2016,38478.79,33963.14,18392.46
9/23/2016,38204.71,33721.22,18261.45
9/26/2016,37856.13,33413.54,18094.83
9/27/2016,38135.37,33660.01,18228.3
9/28/2016,38367.47,33864.88,18339.24
9/29/2016,37957.85,33503.33,18143.45
9/30/2016,38302.42,33807.46,18308.15
10/3/2016,38192.53,33709.48,18253.85
10/4/2016,38020.73,33556.03,18168.45
10/5/2016,38269.2,33771.91,18281.03
10/6/2016,38242.97,33748.76,18268.5
10/7/2016,38184.33,33697.02,18240.49
10/10/2016,38369.7,33860.6,18329.04
10/11/2016,37950.22,33490.42,18128.66
10/12/2016,37982.77,33519.14,18144.2
10/13/2016,37888,33435.51,18098.94
10/14/2016,37970.58,33508.38,18138.38
10/17/2016,37861.77,33412.36,18086.4
10/18/2016,38019.9,33551.91,18161.94
10/19/2016,38114.65,33632.98,18202.62
10/20/2016,38041.37,33565.4,18162.35
10/21/2016,38006.52,33534.65,18145.71
,,,
,,,
,,,
"Source: S&P Dow Jones Indices LLC, a division of S&P Global.

The launch date of the Dow Jones Industrial Average was May 26, 1896. 

All information presented prior to the index launch date is back-tested. Back-tested performance is not actual performance, but is hypothetical. The back-test calculations are based on the same methodology that was in effect when the index was officially launched. Past performance is not an indication or guarantee of future results.  Please see the Performance Disclosure at http://www.spindices.com/regulatory-affairs-disclaimers/ for more information regarding the inherent limitations associated with back-tested performance.

Copyright © 2016 S&P Dow Jones Indices LLC, a division of S&P Global. All rights reserved. Redistribution or reproduction in whole or in part are prohibited without written permission. STANDARD & POOR’S and S&P are registered trademarks of Standard & Poor’s Financial Services LLC, a division of S&P Global (“S&P”); DOW JONES is a registered trademark of Dow Jones Trademark Holdings LLC (“Dow Jones”); and these trademarks have been licensed for use by S&P Dow Jones Indices LLC. S&P Dow Jones Indices LLC, Dow Jones, S&P, their respective affiliates and their third-party data providers and licensors (collectively “S&P Dow Jones Indices Parties”) makes no representation or warranty, express or implied, as to the ability of any index to accurately represent the asset class or market sector that it purports to represent and S&P Dow Jones Indices Parties shall have no liability for any errors, omissions, or interruptions of any index or the data included therein. Past performance of an index is not an indication or guarantee of future results. This document does not constitute an offer of any services. All information provided by S&P Dow Jones Indices is general in nature and not tailored to the needs of any person, entity or group of persons. S&P Dow Jones Indices receives compensation in connection with licensing its indices to third parties and providing custom calculation services.It is not possible to invest directly in an index. Exposure to an asset class represented by an index may be available through investable instruments offered by third parties that are based on that index. S&P Dow Jones Indices Parties do not sponsor, endorse, sell, promote or manage any investment fund or other investment product or vehicle that seeks to provide an investment return based on the performance of any Index. S&P Dow Jones Indices LLC is not an investment or tax advisor. S&P Dow Jones Indices Parties make no representation regarding the advisability of investing in any such investment fund or other investment product or vehicle.  A tax advisor should be consulted to evaluate the impact of any tax-exempt securities on portfolios and the tax consequences of making any particular investment decision. Credit-related information and other analyses, including ratings, are generally provided by licensors and/or affiliates of S&P Dow Jones Indices, including but not limited to S&P Global’s other divisions such as Standard & Poor’s Financial Services LLC and S&P Capital IQ LLC. Any credit-related information and other related analyses and statements are opinions as of the date they are expressed and are not statements of fact. S&P Dow Jones Indices LLC is analytically separate and independent from any other analytical department.For more information on any of our indices please visit www.spdji.com.",,,
